订单ID,关联事件ID,会员ID,商品ID,门店ID,订单日期,订单金额_元,商品成本_元,毛利_元,促销ID,订单渠道,购买数量,配送时长_分钟,履约时长_分钟
O015435,E0197380,B3929,S078,12,2023-11-25,17.99,9.79,8.2,P05,App到家,1,20,14
O015436,E0197383,C7030,S067,31,2023-11-25,9.9,2.1,7.8,P07,第三方外卖,1,18,22
O015437,E0197403,B0881,S093,14,2023-11-25,30.3,17.28,13.02,P04,App到家,2,22,13
O015438,E0197431,C0628,S081,21,2023-11-25,29.72,15.6,14.12,P05,App到家,2,16,10
O015439,E0197446,C1969,S009,5,2023-11-25,9.9,4.29,5.61,P01,第三方外卖,1,42,28
O015440,E0197452,A037,S026,28,2023-11-25,23.75,14.84,8.91,P01,App到家,1,19,13
O015441,E0197455,C6923,S089,21,2023-11-25,65.52,39.24,26.28,P01,小程序到家,3,14,14
O015442,E0197467,C6938,S007,33,2023-11-25,9.9,2.53,7.37,P04,App到家,1,72,54
O015443,E0197496,B3525,S009,25,2023-11-25,9.9,4.29,5.61,P01,小程序到家,1,13,13
O015444,E0197503,B2008,S009,28,2023-11-25,16.92,8.59,8.33,P01,门店自提,2,30,26
O015445,E0197514,C9302,S048,17,2023-11-25,18.48,8.96,9.52,P01,门店自提,1,39,25
O015446,E0197532,C8267,S022,5,2023-11-25,88.88,60.48,28.4,P03,小程序到家,2,27,28
O015447,E0197544,C6250,S030,29,2023-11-25,43.96,32.49,11.47,P01,小程序到家,1,26,13
O015448,E0197563,B3917,S063,23,2023-11-25,49.51,28.84,20.67,P01,第三方外卖,1,27,21
O015449,E0197570,C9194,S054,2,2023-11-25,42.87,28.08,14.79,P04,门店自提,1,34,16
O015450,E0197582,B3949,S038,3,2023-11-25,137.08,98.88,38.2,P01,App到家,2,25,22
O015451,E0197600,C8136,S003,17,2023-11-25,15.33,10.75,4.58,P07,门店自提,2,25,25
O015452,E0197621,C5589,S017,19,2023-11-25,29.78,16.35,13.43,P01,小程序到家,2,15,16
O015453,E0197635,B1792,S014,1,2023-11-25,16.6,10.38,6.22,P02,门店堂食,1,33,18
O015454,E0197639,B1684,S065,32,2023-11-25,14.94,8.24,6.7,P01,第三方外卖,1,24,14
O015455,E0197640,B0239,S030,30,2023-11-25,43.96,32.49,11.47,P01,小程序到家,1,21,16
O015456,E0197654,C1934,S011,36,2023-11-25,15.84,9.44,6.4,P01,App到家,1,68,47
O015457,E0197659,B2746,S096,4,2023-11-25,13.86,7.7,6.16,P03,门店自提,1,21,21
O015458,E0197671,C6925,S099,15,2023-11-25,12.54,6.24,6.3,P01,门店堂食,1,26,24
O015459,E0197684,C3274,S094,38,2023-11-25,19.56,11.77,7.79,P08,App到家,1,26,16
O015460,E0197710,C0367,S037,13,2023-11-25,148.56,87.36,61.2,P04,门店堂食,3,22,18
O015461,E0197712,A145,S008,3,2023-11-25,9.9,3.99,5.91,P02,小程序到家,1,33,25
O015462,E0197773,C9552,S098,5,2023-11-25,19.07,10.3,8.77,P05,门店自提,1,28,22
O015463,E0197775,B2955,S065,28,2023-11-25,15.55,8.24,7.31,P03,App到家,1,12,17
O015464,E0197779,B0640,S034,27,2023-11-25,56.67,34.34,22.33,P03,App到家,3,26,17
O015465,E0197785,C2449,S079,17,2023-11-25,9.9,3.58,6.32,P04,小程序到家,1,54,43
O015466,E0197789,B2317,S029,3,2023-11-25,38.25,27.84,10.41,P03,小程序到家,1,27,20
O015467,E0197801,C5179,S031,6,2023-11-25,55.48,38.5,16.98,P03,小程序到家,1,35,22
O015468,E0197808,B3720,S080,13,2023-11-25,67.98,41.63,26.35,P05,第三方外卖,3,16,10
O015469,E0197813,C0651,S050,39,2023-11-26,19.73,11.34,8.39,P01,小程序到家,1,19,20
O015470,E0197820,C7108,S049,33,2023-11-26,9.9,11.97,-2.07,P06,小程序到家,1,15,19
O015471,E0197853,C9619,S072,19,2023-11-26,37.26,23.73,13.53,P02,小程序到家,2,16,18
O015472,E0197854,C6909,S019,3,2023-11-26,27.11,19.61,7.5,P03,App到家,1,22,13
O015473,E0197867,C0941,S090,13,2023-11-26,25.64,15.81,9.83,P01,门店堂食,1,25,25
O015474,E0197884,B0706,S020,5,2023-11-26,34.92,23.54,11.38,P02,第三方外卖,1,52,41
O015475,E0197886,C3152,S012,9,2023-11-26,88.74,61.36,27.38,P01,小程序到家,1,19,15
O015476,E0197887,C2585,S007,27,2023-11-26,9.9,2.53,7.37,P02,小程序到家,1,20,17
O015477,E0197895,C8578,S020,9,2023-11-26,69.78,47.08,22.7,P01,小程序到家,2,18,16
O015478,E0197918,C1952,S073,1,2023-11-26,15.58,9.5,6.08,P01,App到家,1,57,46
O015479,E0197927,C7329,S055,21,2023-11-26,26.69,16.59,10.1,P04,App到家,1,13,14
O015480,E0197930,C7821,S046,35,2023-11-26,32.09,19.44,12.65,P01,小程序到家,1,29,22
O015481,E0197941,A253,S073,13,2023-11-26,31.14,19.01,12.13,P05,App到家,2,17,17
O015482,E0197953,B1708,S025,15,2023-11-26,18.43,12.08,6.35,P01,门店自提,1,26,17
O015483,E0197958,C9234,S050,8,2023-11-26,19.03,11.34,7.69,P03,门店自提,1,27,24
O015484,E0197970,B0404,S029,35,2023-11-26,37.95,27.84,10.11,P08,小程序到家,1,21,13
O015485,E0197993,A100,S032,16,2023-11-26,30.08,20.52,9.56,P02,小程序到家,2,20,15
O015486,E0197999,C7720,S071,28,2023-11-26,26.51,17.49,9.02,P01,小程序到家,1,42,38
O015487,E0198011,C0878,S077,8,2023-11-26,18.35,11.77,6.58,P03,小程序到家,1,18,15
O015488,E0198040,C3811,S063,35,2023-11-26,45.08,28.84,16.24,P02,App到家,1,26,17
O015489,E0198045,B3892,S094,28,2023-11-26,18.91,11.77,7.14,P01,小程序到家,1,17,13
O015490,E0198059,C4386,S086,16,2023-11-26,29.36,18.24,11.12,P03,门店堂食,1,38,20
O015491,E0198069,C4475,S013,39,2023-11-26,15.88,12.6,3.28,P07,门店堂食,1,14,11
O015492,E0198109,A561,S047,29,2023-11-26,25.62,11.77,13.85,P01,小程序到家,2,30,21
O015493,E0198115,B0607,S013,21,2023-11-26,19.28,12.6,6.68,P03,门店堂食,1,35,27
O015494,E0198155,C0340,S100,19,2023-11-26,31.66,20.17,11.49,P01,门店自提,1,22,21
O015495,E0198158,B0756,S090,7,2023-11-26,26.1,15.81,10.29,P01,第三方外卖,1,17,13
O015496,E0198185,C2249,S039,25,2023-11-26,37.14,20.28,16.86,P04,App到家,3,12,14
O015497,E0198187,C7549,S075,16,2023-11-26,36.71,22.55,14.16,P02,小程序到家,1,28,19
O015498,E0198226,C8957,S060,38,2023-11-26,64.8,39.9,24.9,P03,第三方外卖,1,15,10
O015499,E0198238,B1539,S076,15,2023-11-26,32.38,18.36,14.02,P04,App到家,2,14,10
O015500,E0198245,A449,S096,13,2023-11-26,13.08,7.7,5.38,P02,门店堂食,1,13,10
O015501,E0198246,C5479,S077,19,2023-11-26,39.58,23.54,16.04,P01,App到家,2,26,20
O015502,E0198265,C1058,S019,14,2023-11-26,27.62,19.61,8.01,P03,第三方外卖,1,66,51
O015503,E0198307,C6845,S077,35,2023-11-26,57.96,35.31,22.65,P01,小程序到家,3,27,25
O015504,E0198316,B2725,S081,37,2023-11-26,14.3,7.8,6.5,P04,第三方外卖,1,52,43
O015505,E0198336,A425,S093,6,2023-11-26,46.41,25.92,20.49,P01,App到家,3,21,21
O015506,E0198343,C4157,S004,5,2023-11-26,9.9,2.65,7.25,P02,App到家,1,34,26
O015507,E0198358,A594,S091,2,2023-11-26,9.9,3.52,6.38,P02,App到家,1,57,32
O015508,E0198373,B2727,S012,20,2023-11-26,85.24,61.36,23.88,P02,门店堂食,1,24,16
O015509,E0198376,A511,S061,15,2023-11-26,28.43,17.0,11.43,P04,小程序到家,1,20,18
O015510,E0198382,B2636,S075,27,2023-11-26,35.36,22.55,12.81,P05,App到家,1,18,15
O015511,E0198389,C8872,S005,29,2023-11-26,9.9,1.89,8.01,P08,小程序到家,1,27,19
O015512,E0198433,B3623,S023,28,2023-11-26,22.26,14.45,7.81,P02,App到家,1,30,21
O015513,E0198442,B0683,S039,10,2023-11-26,12.51,6.76,5.75,P02,小程序到家,1,48,35
O015514,E0198450,C7946,S005,1,2023-11-26,9.9,1.89,8.01,P01,App到家,1,13,10
O015515,E0198458,C2545,S071,13,2023-11-26,26.25,17.49,8.76,P08,小程序到家,1,23,19
O015516,E0198501,C1416,S019,25,2023-11-26,36.48,39.22,-2.74,P06,小程序到家,2,12,15
O015517,E0198515,A011,S005,31,2023-11-26,13.14,5.67,7.47,P04,小程序到家,3,13,10
O015518,E0198534,C5853,S012,36,2023-11-26,80.46,61.36,19.1,P02,小程序到家,1,14,15
O015519,E0198537,C6935,S024,26,2023-11-26,18.74,11.66,7.08,P01,App到家,1,18,11
O015520,E0198559,B0262,S064,31,2023-11-27,18.15,9.88,8.27,P01,门店自提,1,12,13
O015521,E0198586,A540,S085,15,2023-11-27,12.33,6.7,5.63,P01,App到家,1,16,13
O015522,E0198608,B1871,S032,8,2023-11-27,16.47,10.26,6.21,P08,第三方外卖,1,75,56
O015523,E0198715,C2918,S050,27,2023-11-27,37.84,22.68,15.16,P01,App到家,2,29,17
O015524,E0198717,B0252,S060,8,2023-11-27,62.45,39.9,22.55,P02,门店自提,1,17,17
O015525,E0198728,C3857,S058,9,2023-11-27,19.24,11.88,7.36,P01,第三方外卖,1,51,30
O015526,E0198729,B1897,S027,36,2023-11-27,31.5,22.42,9.08,P03,App到家,1,14,12
O015527,E0198743,C0061,S012,7,2023-11-27,85.6,61.36,24.24,P05,小程序到家,1,19,16
O015528,E0198760,B2864,S082,15,2023-11-27,32.82,15.82,17.0,P03,App到家,2,67,54
O015529,E0198766,C0290,S082,35,2023-11-27,32.98,15.82,17.16,P05,小程序到家,2,26,23
O015530,E0198767,C7355,S052,17,2023-11-27,18.36,10.36,8.0,P01,小程序到家,1,25,15
O015531,E0198783,B2327,S086,11,2023-11-27,85.83,54.72,31.11,P05,App到家,3,35,25
O015532,E0198784,C0358,S008,17,2023-11-27,9.9,3.99,5.91,P08,门店自提,1,44,29
O015533,E0198795,C3431,S056,16,2023-11-27,57.04,33.6,23.44,P03,小程序到家,2,26,13
O015534,E0198798,B1423,S098,26,2023-11-27,19.03,10.3,8.73,P03,门店堂食,1,36,22
O015535,E0198807,C4480,S091,5,2023-11-27,9.9,3.52,6.38,P03,门店自提,1,15,16
O015536,E0198838,C2546,S046,26,2023-11-27,64.96,38.88,26.08,P01,小程序到家,2,12,10
O015537,E0198853,C3442,S096,5,2023-11-27,13.34,7.7,5.64,P02,小程序到家,1,17,10
O015538,E0198893,C4405,S061,6,2023-11-27,29.85,17.0,12.85,P01,App到家,1,17,16
O015539,E0198930,B1488,S033,4,2023-11-27,22.78,13.91,8.87,P01,门店堂食,1,28,20
O015540,E0198935,B0608,S047,5,2023-11-27,12.6,5.89,6.71,P01,App到家,1,75,69
O015541,E0198940,C1634,S016,5,2023-11-27,12.42,7.34,5.08,P03,App到家,1,27,15
O015542,E0198942,B3603,S027,32,2023-11-27,59.72,44.85,14.87,P02,App到家,2,27,14
O015543,E0198953,B3105,S086,19,2023-11-27,29.22,18.24,10.98,P02,小程序到家,1,24,12
O015544,E0198959,C7936,S059,5,2023-11-27,32.88,18.72,14.16,P01,门店堂食,1,23,25
O015545,E0198963,A284,S013,3,2023-11-27,18.66,12.6,6.06,P05,门店自提,1,43,23
O015546,E0198987,C3512,S057,38,2023-11-27,9.9,14.04,-4.14,P06,小程序到家,1,26,13
O015547,E0199005,B0417,S044,35,2023-11-27,22.85,17.99,4.86,P07,小程序到家,1,29,25
O015548,E0199031,B0995,S071,22,2023-11-27,26.36,17.49,8.87,P05,门店自提,1,27,26
O015549,E0199043,B3583,S060,7,2023-11-27,66.27,39.9,26.37,P03,门店自提,1,17,11
O015550,E0199049,C7598,S086,26,2023-11-27,29.34,18.24,11.1,P01,门店自提,1,12,10
O015551,E0199056,B1821,S054,3,2023-11-27,41.68,28.08,13.6,P04,第三方外卖,1,68,40
O015552,E0199077,A005,S080,7,2023-11-27,22.44,13.88,8.56,P08,App到家,1,22,16
O015553,E0199091,C3109,S044,20,2023-11-27,29.72,17.99,11.73,P01,小程序到家,1,24,22
O015554,E0199099,B1724,S072,7,2023-11-27,18.36,11.86,6.5,P06,App到家,1,12,15
O015555,E0199109,C3714,S051,4,2023-11-27,15.87,8.35,7.52,P04,小程序到家,1,12,10
O015556,E0199111,C4474,S086,4,2023-11-27,9.9,18.24,-8.34,P06,门店堂食,1,28,20
O015557,E0199116,C9658,S017,11,2023-11-27,34.97,24.53,10.44,P07,App到家,3,40,31
O015558,E0199117,A073,S082,35,2023-11-27,47.4,23.73,23.67,P04,App到家,3,29,26
O015559,E0199133,C6746,S024,18,2023-11-27,18.77,11.66,7.11,P01,小程序到家,1,26,23
O015560,E0199142,B2691,S033,5,2023-11-28,21.17,13.91,7.26,P01,门店堂食,1,47,36
O015561,E0199145,A122,S077,9,2023-11-28,15.66,11.77,3.89,P07,小程序到家,1,20,13
O015562,E0199152,C3535,S004,10,2023-11-28,11.7,5.3,6.4,P01,App到家,2,47,30
O015563,E0199161,C8646,S094,39,2023-11-28,9.9,11.77,-1.87,P06,小程序到家,1,13,12
O015564,E0199162,A311,S069,31,2023-11-28,29.13,17.4,11.73,P03,小程序到家,1,62,45
O015565,E0199173,C6708,S094,16,2023-11-28,9.9,11.77,-1.87,P06,门店自提,1,18,11
O015566,E0199182,C4702,S081,34,2023-11-28,14.36,7.8,6.56,P03,小程序到家,1,38,29
O015567,E0199184,C5284,S073,38,2023-11-28,31.52,19.01,12.51,P05,App到家,2,29,20
O015568,E0199195,B0055,S074,24,2023-11-28,36.26,20.71,15.55,P01,App到家,2,15,18
O015569,E0199198,C9092,S061,8,2023-11-28,9.9,17.0,-7.1,P06,App到家,1,20,22
O015570,E0199207,B0999,S057,27,2023-11-28,49.3,28.08,21.22,P01,小程序到家,2,24,26
O015571,E0199236,B0984,S033,39,2023-11-28,22.55,13.91,8.64,P01,App到家,1,29,26
O015572,E0199242,C1842,S070,6,2023-11-28,43.58,26.16,17.42,P03,小程序到家,2,44,42
O015573,E0199249,C3189,S095,34,2023-11-28,28.28,18.4,9.88,P03,App到家,1,27,23
O015574,E0199253,C0437,S070,39,2023-11-28,21.78,13.08,8.7,P08,第三方外卖,1,49,38
O015575,E0199254,B0978,S024,9,2023-11-28,17.03,11.66,5.37,P02,App到家,1,14,10
O015576,E0199255,B1295,S098,31,2023-11-28,52.58,30.9,21.68,P02,App到家,3,14,15
O015577,E0199279,B1497,S088,25,2023-11-28,16.85,9.63,7.22,P03,小程序到家,1,50,38
O015578,E0199290,B3281,S084,27,2023-11-28,34.27,20.8,13.47,P02,App到家,1,21,14
O015579,E0199294,C7290,S069,40,2023-11-28,29.58,17.4,12.18,P01,小程序到家,1,30,23
O015580,E0199317,B2626,S002,10,2023-11-28,9.9,3.3,6.6,P06,App到家,1,19,12
O015581,E0199318,B4081,S085,40,2023-11-28,12.6,6.7,5.9,P04,门店堂食,1,13,10
O015582,E0199327,C7624,S087,5,2023-11-28,23.94,15.6,8.34,P02,门店自提,1,30,17
O015583,E0199330,C3010,S080,21,2023-11-28,22.38,13.88,8.5,P03,门店自提,1,26,25
O015584,E0199334,B1389,S002,37,2023-11-28,12.86,6.6,6.26,P02,App到家,2,21,18
O015585,E0199404,C5154,S004,22,2023-11-28,9.9,2.65,7.25,P06,App到家,1,62,34
O015586,E0199410,C1577,S091,13,2023-11-28,13.62,7.04,6.58,P01,App到家,2,13,12
O015587,E0199419,B0969,S020,8,2023-11-28,35.63,23.54,12.09,P01,第三方外卖,1,16,11
O015588,E0199428,C6513,S090,12,2023-11-28,26.64,15.81,10.83,P01,小程序到家,1,15,15
O015589,E0199448,C2182,S056,37,2023-11-28,9.9,16.8,-6.9,P06,门店堂食,1,14,13
O015590,E0199461,B0078,S008,26,2023-11-28,9.9,3.99,5.91,P01,小程序到家,1,40,29
O015591,E0199469,C0099,S074,31,2023-11-28,18.02,10.36,7.66,P01,第三方外卖,1,14,17
O015592,E0199472,C7705,S067,10,2023-11-28,9.9,2.1,7.8,P02,门店自提,1,18,17
O015593,E0199473,C0759,S029,9,2023-11-28,39.63,27.84,11.79,P03,App到家,1,15,10
O015594,E0199475,C9482,S086,6,2023-11-28,29.76,18.24,11.52,P03,小程序到家,1,15,10
O015595,E0199476,B3400,S093,33,2023-11-28,15.58,8.64,6.94,P01,App到家,1,28,29
O015596,E0199481,C7682,S075,15,2023-11-28,35.18,22.55,12.63,P02,门店堂食,1,22,16
O015597,E0199494,C2524,S090,3,2023-11-28,25.77,15.81,9.96,P01,第三方外卖,1,24,21
O015598,E0199506,C4981,S036,21,2023-11-28,29.38,18.38,11.0,P01,App到家,1,20,19
O015599,E0199517,B0372,S003,4,2023-11-28,9.9,5.38,4.52,P03,App到家,1,30,24
O015600,E0199542,C9727,S077,25,2023-11-28,19.05,11.77,7.28,P04,小程序到家,1,26,24
O015601,E0199547,C5442,S065,3,2023-11-28,45.39,24.72,20.67,P02,App到家,3,16,10
O015602,E0199577,C5598,S096,30,2023-11-28,9.9,7.7,2.2,P06,App到家,1,15,12
O015603,E0199591,A429,S088,18,2023-11-28,33.2,19.26,13.94,P01,小程序到家,2,15,14
O015604,E0199592,A004,S013,1,2023-11-28,19.24,12.6,6.64,P01,小程序到家,1,22,23
O015605,E0199650,C0101,S090,37,2023-11-28,26.0,15.81,10.19,P01,门店自提,1,15,15
O015606,E0199653,C7555,S042,12,2023-11-28,15.12,8.93,6.19,P05,门店自提,1,16,17
O015607,E0199660,B0702,S013,27,2023-11-28,18.95,12.6,6.35,P02,小程序到家,1,27,13
O015608,E0199671,B2736,S001,11,2023-11-28,9.9,4.54,5.36,P02,小程序到家,1,25,14
O015609,E0199689,B2276,S004,30,2023-11-28,16.92,7.95,8.97,P03,App到家,3,18,16
O015610,E0199720,B3651,S087,40,2023-11-28,73.26,46.8,26.46,P01,App到家,3,27,20
O015611,E0199730,C9644,S002,34,2023-11-28,9.9,3.3,6.6,P04,App到家,1,23,26
O015612,E0199741,C2711,S083,30,2023-11-29,19.74,10.4,9.34,P02,小程序到家,2,27,18
O015613,E0199750,C5817,S001,8,2023-11-29,9.9,4.54,5.36,P08,小程序到家,1,18,18
O015614,E0199755,C9072,S006,11,2023-11-29,12.78,6.96,5.82,P03,App到家,1,22,18
O015615,E0199765,C7146,S005,16,2023-11-29,9.9,1.89,8.01,P08,小程序到家,1,22,14
O015616,E0199780,C7764,S100,16,2023-11-29,32.7,20.17,12.53,P03,小程序到家,1,63,43
O015617,E0199808,C7470,S044,30,2023-11-29,28.78,17.99,10.79,P03,小程序到家,1,32,24
O015618,E0199830,C6436,S094,24,2023-11-29,19.73,11.77,7.96,P02,小程序到家,1,17,14
O015619,E0199857,B0401,S036,18,2023-11-29,57.38,36.75,20.63,P02,小程序到家,2,25,17
O015620,E0199860,C8433,S057,35,2023-11-29,23.68,14.04,9.64,P03,小程序到家,1,18,12
O015621,E0199868,B1831,S027,7,2023-11-29,24.87,22.42,2.45,P07,App到家,1,48,41
O015622,E0199891,C8216,S059,28,2023-11-29,31.36,18.72,12.64,P01,App到家,1,14,10
O015623,E0199893,B3268,S033,38,2023-11-29,22.68,13.91,8.77,P04,App到家,1,25,17
O015624,E0199899,C5810,S015,25,2023-11-29,67.6,46.36,21.24,P01,小程序到家,1,29,23
O015625,E0199901,B1905,S048,13,2023-11-29,18.51,8.96,9.55,P03,第三方外卖,1,28,19
O015626,E0199907,C3679,S010,39,2023-11-29,9.9,5.67,4.23,P01,门店自提,1,17,15
O015627,E0199909,C7844,S082,24,2023-11-29,16.63,7.91,8.72,P05,App到家,1,22,24
O015628,E0199919,B3855,S097,23,2023-11-29,52.64,29.12,23.52,P01,App到家,2,15,14
O015629,E0199932,C9057,S083,33,2023-11-29,9.9,5.2,4.7,P01,小程序到家,1,22,15
O015630,E0199967,A154,S022,3,2023-11-29,44.71,30.24,14.47,P01,门店自提,1,26,12
O015631,E0199986,C1809,S003,33,2023-11-29,9.9,5.38,4.52,P01,第三方外卖,1,34,33
O015632,E0200011,C1760,S005,38,2023-11-29,9.9,1.89,8.01,P08,第三方外卖,1,27,20
O015633,E0200015,B0198,S075,3,2023-11-29,71.72,45.1,26.62,P01,App到家,2,30,23
O015634,E0200017,A527,S075,17,2023-11-29,28.63,22.55,6.08,P07,App到家,1,63,58
O015635,E0200032,B2789,S033,26,2023-11-29,45.04,27.82,17.22,P02,App到家,2,25,20
O015636,E0200043,A412,S095,21,2023-11-29,28.37,18.4,9.97,P05,门店堂食,1,50,39
O015637,E0200044,A552,S050,19,2023-11-29,37.88,22.68,15.2,P01,第三方外卖,2,47,45
O015638,E0200047,C9784,S026,6,2023-11-29,71.04,44.52,26.52,P01,小程序到家,3,18,12
O015639,E0200062,C1220,S072,19,2023-11-29,18.76,11.86,6.9,P04,第三方外卖,1,15,12
O015640,E0200063,C7093,S096,35,2023-11-29,14.43,7.7,6.73,P01,小程序到家,1,19,22
O015641,E0200067,C9111,S051,17,2023-11-29,15.54,8.35,7.19,P08,小程序到家,1,21,23
O015642,E0200068,B2667,S023,3,2023-11-29,21.45,14.45,7.0,P01,小程序到家,1,15,12
O015643,E0200100,B2906,S006,38,2023-11-29,25.16,13.91,11.25,P03,小程序到家,2,23,16
O015644,E0200104,C7355,S023,27,2023-11-29,22.51,14.45,8.06,P04,小程序到家,1,12,10
O015645,E0200105,C7996,S024,21,2023-11-29,18.72,11.66,7.06,P02,小程序到家,1,56,33
O015646,E0200113,C2982,S026,2,2023-11-29,24.55,14.84,9.71,P02,门店自提,1,15,10
O015647,E0200134,B2015,S061,19,2023-11-29,58.62,33.99,24.63,P05,第三方外卖,2,14,10
O015648,E0200150,C9021,S032,21,2023-11-29,16.12,10.26,5.86,P01,小程序到家,1,51,38
O015649,E0200164,B0198,S027,23,2023-11-29,31.8,22.42,9.38,P03,门店自提,1,16,10
O015650,E0200195,C8215,S017,20,2023-11-29,9.9,16.35,-6.45,P06,门店自提,2,30,24
O015651,E0200208,C4109,S068,35,2023-11-29,9.97,7.15,2.82,P07,门店自提,1,30,27
O015652,E0200214,C9370,S002,17,2023-11-29,12.82,6.6,6.22,P01,小程序到家,2,48,33
O015653,E0200224,B3996,S009,16,2023-11-29,9.9,4.29,5.61,P03,门店自提,1,68,44
O015654,E0200228,C2011,S024,31,2023-11-29,18.21,11.66,6.55,P02,门店堂食,1,28,22
O015655,E0200229,B2422,S023,7,2023-11-29,22.51,14.45,8.06,P01,App到家,1,30,28
O015656,E0200233,C3125,S079,37,2023-11-29,9.9,10.75,-0.85,P06,App到家,3,27,22
O015657,E0200238,A375,S079,26,2023-11-29,9.9,3.58,6.32,P01,App到家,1,17,16
O015658,E0200245,C0366,S043,5,2023-11-29,39.3,24.2,15.1,P01,App到家,1,45,38
O015659,E0200247,B3509,S051,5,2023-11-29,15.82,8.35,7.47,P05,第三方外卖,1,36,25
O015660,E0200251,B0354,S067,16,2023-11-29,9.9,2.1,7.8,P01,门店自提,1,29,17
O015661,E0200275,C5240,S044,36,2023-11-29,52.91,35.97,16.94,P02,App到家,2,66,42
O015662,E0200291,C4860,S053,39,2023-11-29,44.95,30.24,14.71,P01,小程序到家,1,30,26
O015663,E0200297,B2262,S005,31,2023-11-29,9.9,1.89,8.01,P04,小程序到家,1,69,54
O015664,E0200300,C0901,S081,38,2023-11-29,14.65,7.8,6.85,P01,App到家,1,24,20
O015665,E0200306,A565,S048,21,2023-11-29,18.31,8.96,9.35,P05,第三方外卖,1,20,12
O015666,E0200337,C4678,S015,34,2023-11-30,66.42,46.36,20.06,P01,门店自提,1,19,11
O015667,E0200350,C8100,S039,37,2023-11-30,12.3,6.76,5.54,P01,门店自提,1,14,15
O015668,E0200351,C2842,S085,29,2023-11-30,24.66,13.39,11.27,P02,App到家,2,59,39
O015669,E0200354,C0632,S041,15,2023-11-30,12.67,7.07,5.6,P02,小程序到家,1,16,16
O015670,E0200358,B3783,S023,2,2023-11-30,22.68,14.45,8.23,P05,第三方外卖,1,15,10
O015671,E0200371,C9632,S092,2,2023-11-30,9.9,2.33,7.57,P02,小程序到家,1,55,35
O015672,E0200391,C0706,S095,10,2023-11-30,27.94,18.4,9.54,P01,门店堂食,1,26,20
O015673,E0200393,C1355,S034,8,2023-11-30,30.1,22.89,7.21,P07,门店自提,2,13,10
O015674,E0200403,C7454,S001,14,2023-11-30,9.9,4.54,5.36,P01,小程序到家,1,25,18
O015675,E0200407,C6319,S022,24,2023-11-30,45.61,30.24,15.37,P02,第三方外卖,1,23,19
O015676,E0200425,B2984,S002,16,2023-11-30,9.9,3.3,6.6,P01,App到家,1,21,23
O015677,E0200428,C5588,S093,18,2023-11-30,15.42,8.64,6.78,P03,第三方外卖,1,69,48
O015678,E0200456,C1549,S019,12,2023-11-30,57.44,39.22,18.22,P08,小程序到家,2,15,15
O015679,E0200458,C4304,S005,8,2023-11-30,9.9,1.89,8.01,P04,第三方外卖,1,53,36
O015680,E0200470,B1248,S065,7,2023-11-30,15.56,8.24,7.32,P01,小程序到家,1,37,27
O015681,E0200479,B2380,S019,17,2023-11-30,55.96,39.22,16.74,P01,门店自提,2,23,11
O015682,E0200504,C0805,S072,40,2023-11-30,18.07,11.86,6.21,P08,门店堂食,1,22,19
O015683,E0200513,C8443,S019,13,2023-11-30,28.64,19.61,9.03,P02,小程序到家,1,24,19
O015684,E0200521,B0202,S012,36,2023-11-30,85.78,61.36,24.42,P02,小程序到家,1,17,17
O015685,E0200530,C7140,S006,10,2023-11-30,25.62,13.91,11.71,P01,第三方外卖,2,20,14
O015686,E0200563,B2346,S067,3,2023-11-30,9.9,2.1,7.8,P01,App到家,1,23,17
O015687,E0200564,C3297,S043,9,2023-11-30,38.33,24.2,14.13,P02,小程序到家,1,48,37
O015688,E0200574,C8843,S044,10,2023-11-30,88.86,53.96,34.9,P01,门店自提,3,15,10
O015689,E0200589,C3696,S013,20,2023-11-30,15.55,12.6,2.95,P07,门店自提,1,30,21
O015690,E0200594,A500,S020,10,2023-11-30,35.74,23.54,12.2,P06,小程序到家,1,64,50
O015691,E0200598,C0967,S085,6,2023-11-30,9.95,6.7,3.25,P07,小程序到家,1,16,11
O015692,E0200601,C6693,S066,14,2023-11-30,9.9,2.78,7.12,P02,门店堂食,1,14,10
O015693,E0200608,C2528,S046,9,2023-11-30,65.3,38.88,26.42,P01,小程序到家,2,14,10
O015694,E0200613,B2532,S063,26,2023-11-30,48.67,28.84,19.83,P06,门店自提,1,12,17
O015695,E0200658,C7755,S079,9,2023-11-30,9.9,3.58,6.32,P05,小程序到家,1,43,34
O015696,E0200673,B0193,S036,35,2023-11-30,28.67,18.38,10.29,P05,小程序到家,1,14,12
O015697,E0200697,C7460,S030,38,2023-11-30,45.41,32.49,12.92,P01,第三方外卖,1,35,28
O015698,E0200699,B0837,S009,25,2023-11-30,16.14,8.59,7.55,P04,第三方外卖,2,28,16
O015699,E0200709,C6513,S066,23,2023-11-30,9.9,2.78,7.12,P01,门店堂食,1,19,12
O015700,E0200712,C9359,S014,4,2023-11-30,31.76,20.77,10.99,P01,小程序到家,2,21,19
O015701,E0200732,C0053,S010,39,2023-11-30,9.9,5.67,4.23,P01,第三方外卖,1,45,38
O015702,E0200754,B0743,S055,4,2023-11-30,28.26,16.59,11.67,P01,App到家,1,48,39
O015703,E0200758,A190,S083,40,2023-11-30,9.9,5.2,4.7,P05,App到家,1,16,14
O015704,E0200786,C3419,S092,36,2023-11-30,9.9,2.33,7.57,P02,小程序到家,1,23,14
O015705,E0200790,B3672,S083,1,2023-11-30,9.9,5.2,4.7,P04,小程序到家,1,12,13
